SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,Norte de Santander,2.0,3.0,5.0,0.0,0.0,0
Privado,Especialización universitaria,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,6.0,5.0,1.0,0.16666666666666663,0
Privado,Especialización universitaria,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,15.0,5.0,13.0,0.6666666666666667,1
Privado,Especialización universitaria,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,9.0,6.0,6.0,0.33333333333333337,0
Privado,Especialización universitaria,Posgrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,7.0,7.0,6.0,0.0,0
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,Si,Femenino,"Bogotá, D.C.",1.0,5.0,1.0,1.0,0.8,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,Si,Femenino,"Bogotá, D.C.",2.0,5.0,0.0,0.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,Si,Masculino,"Bogotá, D.C.",1.0,3.0,0.0,1.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,Si,Masculino,"Bogotá, D.C.",2.0,4.0,1.0,2.0,0.75,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,No,Femenino,"Bogotá, D.C.",2.0,1.0,0.0,1.0,1.0,1
