SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION,PROB_RIESGO_ALTO,PRED_RIESGO
Privado,Especialización universitaria,Posgrado,Virtual,Ciencias sociales y humanas,Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,33.0,16.0,12.0,0.5151515151515151,1,57.0,1
Privado,Especialización universitaria,Posgrado,Virtual,Ciencias sociales y humanas,Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,22.0,10.0,9.0,0.5454545454545454,1,91.0,1
Privado,Especialización universitaria,Posgrado,Virtual,Ciencias sociales y humanas,Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,15.0,12.0,4.0,0.1999999999999999,0,39.0,0
Privado,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,6.0,0.0,2.0,1.0,1,99.0,1
Privado,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,6.0,0.0,1.0,1.0,1,100.0,1
Privado,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,8.0,0.0,0.0,1.0,1,95.0,1
Privado,Universitario,Pregrado,Presencial,"Agronomía, veterinaria y afines",Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,7.0,0.0,0.0,1.0,1,97.0,1
Privado,Maestría,Posgrado,Presencial,Matemáticas y ciencias naturales,Universidad,Si,No,Femenino,Boyacá,1.0,21.0,3.0,12.0,0.8571428571428572,1,97.0,1
Privado,Maestría,Posgrado,Presencial,Matemáticas y ciencias naturales,Universidad,Si,No,Femenino,Boyacá,2.0,18.0,2.0,0.0,0.8888888888888888,1,96.0,1
Privado,Maestría,Posgrado,Presencial,Matemáticas y ciencias naturales,Universidad,Si,No,Masculino,Boyacá,1.0,3.0,4.0,1.0,0.0,0,88.0,1
Privado,Maestría,Posgrado,Presencial,Matemáticas y ciencias naturales,Universidad,Si,No,Masculino,Boyacá,2.0,6.0,4.0,0.0,0.3333333333333333,0,83.2,1
Oficial,Especialización universitaria,Posgrado,A distancia,Ciencias de la educación,Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,10.0,0.0,5.0,1.0,1,80.0,1
Oficial,Especialización universitaria,Posgrado,A distancia,Ciencias de la educación,Universidad,Si,No,Femenino,Tolima,1.0,28.0,8.0,18.0,0.7142857142857143,1,82.0,1
Oficial,Especialización universitaria,Posgrado,A distancia,Ciencias de la educación,Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,4.0,6.0,0.0,0.0,0,55.0,1
